Number,ApiFunName
73,ActivateAudioInterfaceAsync
74,ActivateKeyboardLayout
75,ACUIProviderInvokeUI
76,AdaptiveTimeout_ClearInterfaceSpecificConfiguration
77,AddAccessAllowedAce
78,AddAccessAllowedAceEx
79,AddAccessAllowedObjectAce
80,AddAccessDeniedAce
81,AddAccessDeniedAceEx
82,AddAccessDeniedObjectAce
83,AddAce
84,AddAtomA
85,AddAtomW
86,AddAuditAccessAce
87,AddAuditAccessAceEx
88,AddAuditAccessObjectAce
89,AddChainToStore
90,AddClipboardFormatListener
91,AddClusterGroupDependency
92,AddClusterGroupSetDependency
93,AddClusterGroupToGroupSetDependency
94,AddClusterNode
95,AddClusterNodeEx
96,AddClusterResourceDependency
97,AddClusterResourceNode
98,AddClusterStorageNode
99,AddConditionalAce
100,AddConsoleAliasA
101,AddConsoleAliasW
102,AddCredentialsA
103,AddCrossClusterGroupSetDependency
104,AddDelBackupEntryA
105,AddDelBackupEntryW
106,AddDemoAppLicense
107,AddDllDirectory
108,AddERExcludedApplicationA
109,AddERExcludedApplicationW
110,AddFontMemResourceEx
111,AddFontResourceA
112,AddFontResourceW
113,AddFormW
114,AddIntegrityLabelToBoundaryDescriptor
115,AddIPAddress
116,AddIScsiConnectionA
117,AddIScsiConnectionW
118,AddIScsiSendTargetPortalA
119,AddIScsiSendTargetPortalW
120,AddIScsiStaticTargetA
121,AddIScsiStaticTargetW
122,AddISNSServerA
123,AddISNSServerW
124,AddJobW
125,AddLocalAlternateComputerNameA
126,AddLocalAlternateComputerNameW
127,AddMandatoryAce
128,AddMonitorW
129,AddMRUStringW
130,AddPersistentIScsiDeviceA
131,AddPersistentIScsiDeviceW
132,AddPersonalTrustDBPages
133,AddPointerInteractionContext
134,AddPortW
135,AddPrinterConnectionW
136,AddPrinterDriverExW
137,AddPrinterDriverW
138,AddPrinterW
139,AddPrintProcessorW
140,AddPrintProvidorW
141,AddRadiusServerA
142,AddRadiusServerW
143,AddRefActCtx
144,AddRefActCtxWorker
145,AddRefQueryBlobEx
146,AddResourceAttributeAce
147,AddResourceToClusterSharedVolumes
148,AddResourceToClusterSharedVolumesEx
149,AddScopedPolicyIDAce
150,AddSecureMemoryCacheCallback
151,AddSecurityPackageA
152,AddSecurityPackageW
153,AddSIDToBoundaryDescriptor
154,AddStroke
155,AddUsersToEncryptedFile
156,AddUsersToEncryptedFileEx
157,AddVectoredContinueHandler
158,AddVectoredExceptionHandler
159,AddVirtualDiskParent
160,AddWordsToWordList
161,AdjustCalendarDate
162,AdjustTokenGroups
163,AdjustTokenPrivileges
164,AdjustWindowRect
165,AdjustWindowRectEx
166,ADsBuildEnumerator
167,ADsBuildVarArrayInt
168,AdsFreeAdsValues
169,ADsFreeEnumerator
170,ADsGetObject
171,ADsOpenObject
172,AdsTypeToPropVariant
173,AdsTypeToPropVariant2
174,AdvInstallFileA
175,AdvInstallFileW
176,AdviseInkChange
177,AlignRects
178,AllJoynAcceptBusConnection
179,AllJoynCloseBusHandle
180,AllJoynConnectToBus
181,AllJoynCreateBus
182,AllJoynEnumEvents
183,AllJoynEventSelect
184,AllJoynReceiveFromBus
185,AllJoynSendToBus
186,AllocateAndGetInterfaceInfoFromStack
187,AllocateAndGetIpAddrTableFromStack
188,AllocateAndInitializeSid
189,AllocateLocallyUniqueId
190,AllocateUserPhysicalPages
191,AllocateUserPhysicalPagesNuma
192,AllocConsole
193,AllowForegroundActivation
194,AllowSetForegroundWindow
195,AlphaBlend
196,AMGetErrorTextA
197,AMGetErrorTextW
198,AmpFactorToDB
199,AmsiCloseSession
200,AmsiInitialize
201,AmsiOpenSession
202,AmsiScanBuffer
203,AmsiScanString
204,AmsiUninitialize
205,AngleArc
206,AnimatePalette
207,AnimateWindow
208,AnyPopup
209,AppCacheCheckManifest
210,AppCacheCloseHandle
211,AppCacheCreateAndCommitFile
212,AppCacheDeleteGroup
213,AppCacheDeleteIEGroup
214,AppCacheDuplicateHandle
215,AppCacheFinalize
216,AppCacheFreeDownloadList
217,AppCacheFreeGroupList
218,AppCacheFreeIESpace
219,AppCacheFreeSpace
220,AppCacheGetDownloadList
221,AppCacheGetFallbackUrl
222,AppCacheGetGroupList
223,AppCacheGetIEGroupList
224,AppCacheGetInfo
225,AppCacheGetManifestUrl
226,AppCacheLookup
227,AppCleanup
228,AppCompat_RunDLLW
229,AppendMenuA
230,AppendMenuW
231,ApphelpCheckShellObject
232,ApplicationRecoveryFinished
233,ApplicationRecoveryInProgress
234,ApplyCompatResolutionQuirking
235,ApplyControlToken
236,ApplyDeltaA
237,ApplyDeltaB
238,ApplyDeltaProvidedB
239,ApplyDeltaW
240,ApplyPatchToFileA
241,ApplyPatchToFileByBuffers
242,ApplyPatchToFileByHandles
243,ApplyPatchToFileByHandlesEx
244,ApplyPatchToFileW
245,ApplySnapshotVhdSet
246,Arc
247,ArcTo
248,AreAllAccessesGranted
249,AreAnyAccessesGranted
250,AreFileApisANSI
251,AreShortNamesEnabled
252,AreThereVisibleLogoffScripts
253,AreThereVisibleShutdownScripts
254,ArrangeIconicWindows
255,ASN1BERDecBitString
256,ASN1BERDecBitString2
257,ASN1BERDecBool
258,ASN1BERDecChar16String
259,ASN1BERDecChar32String
260,ASN1BERDecCharString
261,ASN1BERDecCheck
262,ASN1BERDecDouble
263,ASN1BERDecEndOfContents
264,ASN1BERDecEoid
265,ASN1BERDecExplicitTag
266,ASN1BERDecFlush
267,ASN1BERDecGeneralizedTime
268,ASN1BERDecLength
269,ASN1BERDecMultibyteString
270,ASN1BERDecNotEndOfContents
271,ASN1BERDecNull
272,ASN1BERDecObjectIdentifier
273,ASN1BERDecObjectIdentifier2
274,ASN1BERDecOctetString
275,ASN1BERDecOctetString2
276,ASN1BERDecOpenType
277,ASN1BERDecOpenType2
278,ASN1BERDecPeekTag
279,ASN1BERDecS16Val
280,ASN1BERDecS32Val
281,ASN1BERDecS8Val
282,ASN1BERDecSkip
283,ASN1BERDecSXVal
284,ASN1BERDecTag
285,ASN1BERDecU16Val
286,ASN1BERDecU32Val
287,ASN1BERDecU8Val
288,ASN1BERDecUTCTime
289,ASN1BERDecUTF8String
290,ASN1BERDecZeroChar16String
291,ASN1BERDecZeroChar32String
292,ASN1BERDecZeroCharString
293,ASN1BERDecZeroMultibyteString
294,ASN1BERDotVal2Eoid
295,ASN1BEREncBitString
296,ASN1BEREncBool
297,ASN1BEREncChar16String
298,ASN1BEREncChar32String
299,ASN1BEREncCharString
300,ASN1BEREncCheck
301,ASN1BEREncDouble
302,ASN1BEREncEndOfContents
303,ASN1BEREncEoid
304,ASN1BEREncExplicitTag
305,ASN1BEREncFlush
306,ASN1BEREncGeneralizedTime
307,ASN1BEREncLength
308,ASN1BEREncMultibyteString
309,ASN1BEREncNull
310,ASN1BEREncObjectIdentifier
311,ASN1BEREncObjectIdentifier2
312,ASN1BEREncOctetString
313,ASN1BEREncOpenType
314,ASN1BEREncRemoveZeroBits
315,ASN1BEREncRemoveZeroBits2
316,ASN1BEREncS32
317,ASN1BEREncSX
318,ASN1BEREncTag
319,ASN1BEREncU32
320,ASN1BEREncUTCTime
321,ASN1BEREncUTF8String
322,ASN1BEREncZeroMultibyteString
323,ASN1BEREoid2DotVal
324,ASN1BEREoid_free
325,ASN1bitstring_cmp
326,ASN1bitstring_free
327,ASN1CEREncBeginBlk
328,ASN1CEREncBitString
329,ASN1CEREncChar16String
330,ASN1CEREncChar32String
331,ASN1CEREncCharString
332,ASN1CEREncEndBlk
333,ASN1CEREncFlushBlkElement
334,ASN1CEREncGeneralizedTime
335,ASN1CEREncMultibyteString
336,ASN1CEREncNewBlkElement
337,ASN1CEREncOctetString
338,ASN1CEREncUTCTime
339,ASN1CEREncZeroMultibyteString
340,ASN1char16string_cmp
341,ASN1char16string_free
342,ASN1char32string_cmp
343,ASN1char32string_free
344,ASN1charstring_cmp
345,ASN1charstring_free
346,ASN1DecAlloc
347,ASN1DecRealloc
348,ASN1DecSetError
349,ASN1DEREncBeginBlk
350,ASN1DEREncBitString
351,ASN1DEREncChar16String
352,ASN1DEREncChar32String
353,ASN1DEREncCharString
354,ASN1DEREncEndBlk
355,ASN1DEREncFlushBlkElement
356,ASN1DEREncGeneralizedTime
357,ASN1DEREncMultibyteString
358,ASN1DEREncNewBlkElement
359,ASN1DEREncOctetString
360,ASN1DEREncUTCTime
361,ASN1DEREncUTF8String
362,ASN1DEREncZeroMultibyteString
363,ASN1EncSetError
364,ASN1Free
365,ASN1generalizedtime_cmp
366,ASN1intx2int32
367,ASN1intx2uint32
368,ASN1intxisuint32
369,ASN1intx_add
370,ASN1intx_cmp
371,ASN1intx_free
372,ASN1intx_setuint32
373,ASN1intx_sub
374,ASN1intx_uoctets
375,ASN1objectidentifier2_cmp
376,ASN1objectidentifier_cmp
377,ASN1objectidentifier_free
378,ASN1octetstring_cmp
379,ASN1octetstring_free
380,ASN1open_cmp
381,ASN1open_free
382,ASN1uint32_uoctets
383,ASN1utctime_cmp
384,ASN1utf8string_free
385,ASN1ztchar16string_cmp
386,ASN1ztchar16string_free
387,ASN1ztchar32string_cmp
388,ASN1ztchar32string_free
389,ASN1ztcharstring_cmp
390,ASN1ztcharstring_free
391,ASN1_CloseDecoder
392,ASN1_CloseEncoder
393,ASN1_CloseEncoder2
394,ASN1_CloseModule
395,ASN1_CreateDecoder
396,ASN1_CreateDecoderEx
397,ASN1_CreateEncoder
398,ASN1_Decode
399,ASN1_Encode
400,ASN1_FreeDecoded
401,ASN1_FreeEncoded
402,ASN1_GetDecoderOption
403,ASN1_GetEncoderOption
404,ASN1_SetDecoderOption
405,ASN1_SetEncoderOption
406,AssignProcessToJobObject
407,AssocCreate
408,AssocCreateForClasses
409,AssocElemCreateForKey
410,AssocGetDetailsOfPropKey
411,AssocGetPerceivedType
412,AssociateColorProfileWithDeviceA
413,AssociateColorProfileWithDeviceW
414,AssocIsDangerous
415,AssocQueryKeyA
416,AssocQueryKeyW
417,AssocQueryStringA
418,AssocQueryStringByKeyA
419,AssocQueryStringByKeyW
420,AssocQueryStringW
421,AsyncGetClassBits
422,AsyncInstallDistributionUnit
423,ATMAddFont
424,ATMAddFontA
425,ATMAddFontEx
426,ATMAddFontW
427,ATMBBoxBaseXYShowText
428,ATMBBoxBaseXYShowTextA
429,ATMBBoxBaseXYShowTextW
430,ATMBeginFontChange
431,ATMClient
432,ATMEndFontChange
433,ATMEnumFonts
434,ATMEnumFontsA
435,ATMEnumFontsW
436,ATMEnumMMFonts
437,ATMEnumMMFontsA
438,ATMEnumMMFontsW
439,ATMFinish
440,ATMFontAvailable
441,ATMFontAvailableA
442,ATMFontAvailableW
443,ATMFontSelected
444,ATMFontStatus
445,ATMFontStatusA
446,ATMFontStatusW
447,ATMForceFontChange
448,ATMGetBuildStr
449,ATMGetBuildStrA
450,ATMGetBuildStrW
451,ATMGetFontBBox
452,ATMGetFontInfo
453,ATMGetFontInfoA
454,ATMGetFontInfoW
455,ATMGetFontPaths
456,ATMGetFontPathsA
457,ATMGetFontPathsW
458,ATMGetGlyphList
459,ATMGetGlyphListA
460,ATMGetGlyphListW
461,ATMGetMenuName
462,ATMGetMenuNameA
463,ATMGetMenuNameW
464,ATMGetNtmFields
465,ATMGetNtmFieldsA
466,ATMGetNtmFieldsW
467,ATMGetOutline
468,ATMGetOutlineA
469,ATMGetOutlineW
470,ATMGetPostScriptName
471,ATMGetPostScriptNameA
472,ATMGetPostScriptNameW
473,ATMGetVersion
474,ATMGetVersionEx
475,ATMInstallSubstFontA
476,ATMInstallSubstFontW
477,ATMMakePFM
478,ATMMakePFMA
479,ATMMakePFMW
480,ATMMakePSS
481,ATMMakePSSA
482,ATMMakePSSW
483,ATMProperlyLoaded
484,ATMRemoveFont
485,ATMRemoveFontA
486,ATMRemoveFontW
487,ATMRemoveSubstFontA
488,ATMRemoveSubstFontW
489,ATMSelectEncoding
490,ATMSelectObject
491,ATMSetFlags
492,ATMXYShowText
493,ATMXYShowTextA
494,ATMXYShowTextW
495,AttachConsole
496,AttachThreadInput
497,AttachVirtualDisk
498,AuditComputeEffectivePolicyBySid
499,AuditComputeEffectivePolicyByToken
500,AuditEnumerateCategories
501,AuditEnumeratePerUserPolicy
502,AuditEnumerateSubCategories
503,AuditFree
504,AuditLookupCategoryGuidFromCategoryId
505,AuditLookupCategoryIdFromCategoryGuid
506,AuditLookupCategoryNameA
507,AuditLookupCategoryNameW
508,AuditLookupSubCategoryNameA
509,AuditLookupSubCategoryNameW
510,AuditQueryGlobalSaclA
511,AuditQueryGlobalSaclW
512,AuditQueryPerUserPolicy
513,AuditQuerySecurity
514,AuditQuerySystemPolicy
515,AuditSetGlobalSaclA
516,AuditSetGlobalSaclW
517,AuditSetPerUserPolicy
518,AuditSetSecurity
519,AuditSetSystemPolicy
520,AuthzAccessCheck
521,AuthzAddSidsToContext
522,AuthzCachedAccessCheck
523,AuthzEnumerateSecurityEventSources
524,AuthzEvaluateSacl
525,AuthzFreeAuditEvent
526,AuthzFreeCentralAccessPolicyCache
527,AuthzFreeContext
528,AuthzFreeHandle
529,AuthzFreeResourceManager
530,AuthzGetInformationFromContext
531,AuthzInitializeCompoundContext
532,AuthzInitializeContextFromAuthzContext
533,AuthzInitializeContextFromSid
534,AuthzInitializeContextFromToken
535,AuthzInitializeRemoteResourceManager
536,AuthzInitializeResourceManager
537,AuthzInitializeResourceManagerEx
538,AuthzInstallSecurityEventSource
539,AuthzModifyClaims
540,AuthzModifySecurityAttributes
541,AuthzModifySids
542,AuthzOpenObjectAudit
543,AuthzRegisterCapChangeNotification
544,AuthzRegisterSecurityEventSource
545,AuthzReportSecurityEventFromParams
546,AuthzSetAppContainerInformation
547,AuthzUninstallSecurityEventSource
548,AuthzUnregisterCapChangeNotification
549,AuthzUnregisterSecurityEventSource
550,auxGetDevCapsA
551,auxGetDevCapsW
552,auxGetNumDevs
553,auxGetVolume
554,auxOutMessage
555,auxSetVolume
556,AVIBuildFilterA
557,AVIBuildFilterW
558,AVIClearClipboard
559,AVIFileAddRef
560,AVIFileCreateStreamA
561,AVIFileCreateStreamW
562,AVIFileEndRecord
563,AVIFileExit
564,AVIFileGetStream
565,AVIFileInfoA
566,AVIFileInfoW
567,AVIFileInit
568,AVIFileOpenA
569,AVIFileOpenW
570,AVIFileReadData
571,AVIFileRelease
572,AVIFileWriteData
573,AVIGetFromClipboard
574,AVIMakeCompressedStream
575,AVIMakeFileFromStreams
576,AVIMakeStreamFromClipboard
577,AVIPutFileOnClipboard
578,AVISaveOptions
579,AVISaveOptionsFree
580,AVISaveVA
581,AVISaveVW
582,AVIStreamAddRef
583,AVIStreamBeginStreaming
584,AVIStreamCreate
585,AVIStreamEndStreaming
586,AVIStreamFindSample
587,AVIStreamGetFrame
588,AVIStreamGetFrameClose
589,AVIStreamGetFrameOpen
590,AVIStreamInfoA
591,AVIStreamInfoW
592,AVIStreamLength
593,AVIStreamOpenFromFileA
594,AVIStreamOpenFromFileW
595,AVIStreamRead
596,AVIStreamReadData
597,AVIStreamReadFormat
598,AVIStreamRelease
599,AVIStreamSampleToTime
600,AVIStreamSetFormat
601,AVIStreamStart
602,AVIStreamTimeToSample
603,AVIStreamWrite
604,AVIStreamWriteData
605,BackupClusterDatabase
606,BackupEventLogA
607,BackupEventLogW
608,BackupRead
609,BackupSeek
610,BackupWrite
611,BaseCheckAppcompatCacheExWorker
612,BaseCheckAppcompatCacheWorker
613,BaseCheckElevation
614,BaseCleanupAppcompatCacheSupportWorker
615,BaseDestroyVDMEnvironment
616,BaseDllReadWriteIniFile
617,BaseDumpAppcompatCacheWorker
618,BaseElevationPostProcessing
619,BaseFlushAppcompatCacheWorker
620,BaseFormatTimeOut
621,BaseFreeAppCompatDataForProcessWorker
622,BaseGenerateAppCompatData
623,BaseInitAppcompatCacheSupportWorker
624,BaseIsAppcompatInfrastructureDisabledWorker
625,BaseIsDosApplication
626,Basep8BitStringToDynamicUnicodeString
627,BasepAllocateActivationContextActivationBlock
628,BasepAnsiStringToDynamicUnicodeString
629,BasepAppContainerEnvironmentExtension
630,BasepAppXExtension
631,BasepCheckAppCompat
632,BasepCheckWebBladeHashes
633,BasepCheckWinSaferRestrictions
634,BasepConstructSxsCreateProcessMessage
635,BasepCopyEncryption
636,BasepFinishPackageActivation
637,BasepFinishPackageActivationForSxS
638,BasepFreeActivationContextActivationBlock
639,BasepFreeAppCompatData
640,BasepGetAppCompatData
641,BasepGetComputerNameFromNtPath
642,BasepGetExeArchType
643,BasepGetPackageActivationTokenForFilePath
644,BasepGetPackageActivationTokenForSxS
645,BasepGetPackagedAppInfoForFile
646,BasepInitAppCompatData
647,BasepIsProcessAllowed
648,BasepMapModuleHandle
649,BasepNotifyLoadStringResource
650,BasepPostSuccessAppXExtension
651,BasepProcessInvalidImage
652,BasepQueryAppCompat
653,BasepQueryModuleChpeSettings
654,BasepReleaseAppXContext
655,BasepReleasePackagedAppInfo
656,BasepReleaseSxsCreateProcessUtilityStruct
657,BasepReportFault
658,BasepSetFileEncryptionCompression
659,BaseQueryModuleData
660,BaseReadAppCompatDataForProcessWorker
661,BaseRegCloseKey
662,BaseRegCreateKey
663,BaseRegDeleteKeyEx
664,BaseRegDeleteValue
665,BaseRegFlushKey
666,BaseRegGetVersion
667,BaseRegLoadKey
668,BaseRegOpenKey
669,BaseRegRestoreKey
670,BaseRegSaveKeyEx
671,BaseRegSetKeySecurity
672,BaseRegSetValue
673,BaseRegUnLoadKey
674,BaseSetLastNTError
675,BaseThreadInitThunk
676,BaseUpdateAppcompatCacheWorker
677,BaseUpdateVDMEntry
678,BaseVerifyUnicodeString
679,bCreateDCW
680,BCryptAddContextFunction
681,BCryptAddContextFunctionProvider
682,BCryptCloseAlgorithmProvider
683,BCryptConfigureContext
684,BCryptConfigureContextFunction
685,BCryptCreateContext
686,BCryptCreateHash
687,BCryptCreateMultiHash
688,BCryptDecrypt
689,BCryptDeleteContext
690,BCryptDeriveKey
691,BCryptDeriveKeyCapi
692,BCryptDeriveKeyPBKDF2
693,BCryptDestroyHash
694,BCryptDestroyKey
695,BCryptDestroySecret
696,BCryptDuplicateHash
697,BCryptDuplicateKey
698,BCryptEncrypt
699,BCryptEnumAlgorithms
700,BCryptEnumContextFunctionProviders
701,BCryptEnumContextFunctions
702,BCryptEnumContexts
703,BCryptEnumProviders
704,BCryptEnumRegisteredProviders
705,BCryptExportKey
706,BCryptFinalizeKeyPair
707,BCryptFinishHash
708,BCryptFreeBuffer
709,BCryptGenerateKeyPair
710,BCryptGenerateSymmetricKey
711,BCryptGenRandom
712,BCryptGetFipsAlgorithmMode
713,BCryptGetProperty
714,BCryptHash
715,BCryptHashData
716,BCryptImportKey
717,BCryptImportKeyPair
718,BCryptKeyDerivation
719,BCryptOpenAlgorithmProvider
720,BCryptProcessMultiOperations
721,BCryptQueryContextConfiguration
722,BCryptQueryContextFunctionConfiguration
723,BCryptQueryContextFunctionProperty
724,BCryptQueryProviderRegistration
725,BCryptRegisterConfigChangeNotify
726,BCryptRegisterProvider
727,BCryptRemoveContextFunction
728,BCryptRemoveContextFunctionProvider
729,BCryptResolveProviders
730,BCryptSecretAgreement
731,BCryptSetAuditingInterface
732,BCryptSetContextFunctionProperty
733,BCryptSetProperty
734,BCryptSignHash
735,BCryptUnregisterConfigChangeNotify
736,BCryptUnregisterProvider
737,BCryptVerifySignature
738,bDeleteLDC
739,Beep
740,BeginBufferedAnimation
741,BeginBufferedPaint
742,BeginDeferWindowPos
743,BeginPaint
744,BeginPanningFeedback
745,BeginPath
746,BeginUpdateResourceA
747,BeginUpdateResourceW
748,ber_alloc_t
749,ber_bvdup
750,ber_bvecfree
751,ber_bvfree
752,ber_first_element
753,ber_flatten
754,ber_free
755,ber_init
756,ber_next_element
757,ber_peek_tag
758,ber_skip_tag
759,BinarySDToSecurityDescriptor
760,bind
761,BindAsyncMoniker
762,BindIFilterFromStorage
763,BindIFilterFromStream
764,BindImage
765,BindImageEx
766,BindIoCompletionCallback
767,BindMoniker
768,BitBlt
769,block
770,BlockInput
771,BluetoothAddressToString
772,BluetoothAuthenticateDevice
773,BluetoothAuthenticateDeviceEx
774,BluetoothAuthenticateMultipleDevices
775,BluetoothAuthenticationAgent
776,BluetoothCheckForUnsupportedGuid
777,BluetoothDisconnectDevice
778,BluetoothDisplayDeviceProperties
779,BluetoothEnableConnectableAndDiscoverable
780,BluetoothEnableDiscovery
781,BluetoothEnableIncomingConnections
782,BluetoothEnumerateInstalledServices
783,BluetoothEnumerateInstalledServicesEx
784,BluetoothEnumerateLocalServices
785,BluetoothFindBrowseGroupClose
786,BluetoothFindClassIdClose
787,BluetoothFindDeviceClose
788,BluetoothFindFirstBrowseGroup
789,BluetoothFindFirstClassId
790,BluetoothFindFirstDevice
791,BluetoothFindFirstProfileDescriptor
792,BluetoothFindFirstProtocolDescriptorStack
793,BluetoothFindFirstProtocolEntry
794,BluetoothFindFirstRadio
795,BluetoothFindFirstService
796,BluetoothFindFirstServiceEx
797,BluetoothFindNextBrowseGroup
798,BluetoothFindNextClassId
799,BluetoothFindNextDevice
800,BluetoothFindNextProfileDescriptor
801,BluetoothFindNextProtocolDescriptorStack
802,BluetoothFindNextProtocolEntry
803,BluetoothFindNextRadio
804,BluetoothFindNextService
805,BluetoothFindProfileDescriptorClose
806,BluetoothFindProtocolDescriptorStackClose
807,BluetoothFindProtocolEntryClose
808,BluetoothFindRadioClose
809,BluetoothFindServiceClose
810,BluetoothGATTAbortReliableWrite
811,BluetoothGATTBeginReliableWrite
812,BluetoothGATTEndReliableWrite
813,BluetoothGATTGetCharacteristics
814,BluetoothGATTGetCharacteristicValue
815,BluetoothGATTGetDescriptors
816,BluetoothGATTGetDescriptorValue
817,BluetoothGATTGetIncludedServices
818,BluetoothGATTGetServices
819,BluetoothGATTRegisterEvent
820,BluetoothGATTSetCharacteristicValue
821,BluetoothGATTSetDescriptorValue
822,BluetoothGATTUnregisterEvent
823,BluetoothGetDeviceInfo
824,BluetoothGetLocalServiceInfo
825,BluetoothGetRadioInfo
826,BluetoothGetServicePnpInstance
827,BluetoothIsBluetoothServiceRunning
828,BluetoothIsConnectable
829,BluetoothIsConnectableByDefault
830,BluetoothIsDiscoverable
831,BluetoothIsDiscoverableByDefault
832,BluetoothIsSwiftPairEnabledByDefault
833,BluetoothIsTopOfServiceGroup
834,BluetoothIsVersionAvailable
835,BluetoothMapClassOfDeviceToIconPath
836,BluetoothMapClassOfDeviceToString
837,BluetoothMapStatusToError
838,BluetoothRegisterForAuthentication
839,BluetoothRegisterForAuthenticationEx
840,BluetoothRegisterForAuthenticationInternal
841,BluetoothRemoveDevice
842,BluetoothSdpEnumAttributes
843,BluetoothSdpGetAttributeValue
844,BluetoothSdpGetContainerElementData
845,BluetoothSdpGetElementData
846,BluetoothSdpGetInnerRecord
847,BluetoothSdpGetNextRecord
848,BluetoothSdpGetString
849,BluetoothSelectDevices
850,BluetoothSelectDevicesFree
851,BluetoothSendAuthenticationResponse
852,BluetoothSendAuthenticationResponseEx
853,BluetoothSetLocalServiceInfo
854,BluetoothSetServiceState
855,BluetoothSetServiceStateEx
856,BluetoothSppEnableIncomingComPort
857,BluetoothSppFindNextOpenComPort
858,BluetoothUnregisterAuthentication
859,BluetoothUpdateDeviceRecord
860,BreakMirrorVirtualDisk
861,BreakRecordsIntoBlob
862,BringWindowToTop
863,BroadcastSystemMessageA
864,BroadcastSystemMessageW
865,BstrFromVector
866,BSTR_UserFree
867,BSTR_UserFree64
868,BSTR_UserMarshal
869,BSTR_UserMarshal64
870,BSTR_UserSize
871,BSTR_UserSize64
872,BSTR_UserUnmarshal
873,BSTR_UserUnmarshal64
874,BthpCleanupBRDeviceNode
875,BthpCleanupDeviceLocalServices
876,BthpCleanupDeviceRemoteServices
877,BthpCleanupLEDeviceNodes
878,BthpEnableA2DPIfPresent
879,BthpEnableAllServices
880,BthpEnableRadioSoftware
881,BthpFindPnpInfo
882,BthpGATTCloseSession
883,BthpInnerRecord
884,BthpIsRadioSoftwareEnabled
885,BthpNextRecord
886,BthpRegisterForAuthentication
887,BthpSetServiceState
888,BthpSetServiceStateEx
889,BthpShouldForceAuthentication
890,BthpTransposeAndExtendBytes
891,BufferedPaintClear
892,BufferedPaintInit
893,BufferedPaintRenderAnimation
894,BufferedPaintSetAlpha
895,BufferedPaintStopAllAnimations
896,BufferedPaintUnInit
897,BufferPointerPacketsInteractionContext
898,BuildCommDCBA
899,BuildCommDCBAndTimeoutsA
900,BuildCommDCBAndTimeoutsW
901,BuildCommDCBW
902,BuildExplicitAccessWithNameA
903,BuildExplicitAccessWithNameW
904,BuildImpersonateExplicitAccessWithNameA
905,BuildImpersonateExplicitAccessWithNameW
906,BuildImpersonateTrusteeA
907,BuildImpersonateTrusteeW
908,BuildSecurityDescriptorA
909,BuildSecurityDescriptorW
910,BuildTrusteeWithNameA
911,BuildTrusteeWithNameW
912,BuildTrusteeWithObjectsAndNameA
913,BuildTrusteeWithObjectsAndNameW
914,BuildTrusteeWithObjectsAndSidA
915,BuildTrusteeWithObjectsAndSidW
916,BuildTrusteeWithSidA
917,BuildTrusteeWithSidW
918,CAAccessCheck
919,CAAccessCheckEx
920,CAAddCACertificateType
921,CAAddCACertificateTypeEx
922,CACertTypeAccessCheck
923,CACertTypeAccessCheckEx
924,CACertTypeAuthzAccessCheck
925,CACertTypeGetSecurity
926,CACertTypeQuery
927,CACertTypeRegisterQuery
928,CACertTypeSetSecurity
929,CACertTypeUnregisterQuery
930,CACloneCertType
931,CACloseCA
932,CACloseCertType
933,CACountCAs
934,CACountCertTypes
935,CACreateAutoEnrollmentObjectEx
936,CACreateCertType
937,CACreateLocalAutoEnrollmentObject
938,CACreateNewCA
